run_name,Method,Params,n_neighbors,hidden_feats,k,n_gcn_layers,correlation,moran_I
simulated_disconnected_base,ONTraC,base,50,4,6,2,0.9854467153745796,0.9557034194652689
simulated_disconnected_n_neighbors_10,ONTraC,n_neighbors,10,4,6,2,0.9920054988344118,0.9478587335747746
simulated_disconnected_n_neighbors_20,ONTraC,n_neighbors,20,4,6,2,0.9888191115272552,0.9511895497586079
simulated_disconnected_n_neighbors_100,ONTraC,n_neighbors,100,4,6,2,0.8945780280978624,0.9504579510185587
simulated_disconnected_hidden_feats_2,ONTraC,hidden_feats,50,2,6,2,0.9906892666452315,0.9541544303974988
simulated_disconnected_hidden_feats_8,ONTraC,hidden_feats,50,8,6,2,0.9856951760007038,0.9552721302338998
simulated_disconnected_hidden_feats_16,ONTraC,hidden_feats,50,16,6,2,0.9868482256625326,0.9551455524659536
simulated_disconnected_k_4,ONTraC,k,50,4,4,2,0.9862296709115087,0.9561463192846006
simulated_disconnected_k_8,ONTraC,k,50,4,8,2,0.9860219257686335,0.9557343679099394
simulated_disconnected_k_10,ONTraC,k,50,4,10,2,0.9784350603270537,0.9575747611454519
simulated_disconnected_n_gcn_layers_1,ONTraC,n_gcn_layers,50,4,6,1,0.9879750507060174,0.9561710791613425
simulated_disconnected_n_gcn_layers_3,ONTraC,n_gcn_layers,50,4,6,3,0.9894795359012104,0.9547572318628511
simulated_disconnected_n_gcn_layers_4,ONTraC,n_gcn_layers,50,4,6,4,0.9855080771343736,0.9565016693789519
simulated_disconnected_n_gcn_layers_5,ONTraC,n_gcn_layers,50,4,6,5,0.9860848263813372,0.9555467774680872
simulated_disconnected_n_gcn_layers_6,ONTraC,n_gcn_layers,50,4,6,6,0.9765511837706283,0.9542256283855333
