run_name,Method,Params,n_neighbors,hidden_feats,k,n_gcn_layers,correlation,moran_I
simulated_linear_base,ONTraC,base,50,4,6,2,0.9930522118753549,0.9728229519414426
simulated_linear_n_neighbors_10,ONTraC,n_neighbors,10,4,6,2,0.5469909182192375,0.8738789336490895
simulated_linear_n_neighbors_20,ONTraC,n_neighbors,20,4,6,2,0.9915409257576685,0.9700961225336585
simulated_linear_n_neighbors_100,ONTraC,n_neighbors,100,4,6,2,0.9951952765504806,0.9727629739506336
simulated_linear_hidden_feats_2,ONTraC,hidden_feats,50,2,6,2,0.9942662326520997,0.9706636263200413
simulated_linear_hidden_feats_8,ONTraC,hidden_feats,50,8,6,2,0.9968702433307461,0.9713412295886653
simulated_linear_hidden_feats_16,ONTraC,hidden_feats,50,16,6,2,0.996661730486686,0.9720423529099209
simulated_linear_k_4,ONTraC,k,50,4,4,2,0.9946358342858583,0.9726838805091569
simulated_linear_k_8,ONTraC,k,50,4,8,2,0.9967620988929773,0.9716296446277113
simulated_linear_k_10,ONTraC,k,50,4,10,2,0.9966758905440061,0.9723098703008662
simulated_linear_n_gcn_layers_1,ONTraC,n_gcn_layers,50,4,6,1,0.9957409907595317,0.9724905368317345
simulated_linear_n_gcn_layers_3,ONTraC,n_gcn_layers,50,4,6,3,0.9950645235473868,0.9706517260789005
simulated_linear_n_gcn_layers_4,ONTraC,n_gcn_layers,50,4,6,4,0.9962998090216281,0.9732458191003684
simulated_linear_n_gcn_layers_5,ONTraC,n_gcn_layers,50,4,6,5,0.9967109306858486,0.9725820888639544
simulated_linear_n_gcn_layers_6,ONTraC,n_gcn_layers,50,4,6,6,0.9967413148088433,0.9733819696760674
